3106705EX;2025-01
CONTA;IC1;TIPO1;IC2;TIPO2;IC3;TIPO3;IC4;TIPO4;IC5;TIPO5;IC6;TIPO6;Valor;Tipo_valor;Natureza_valor
111111900;20231;PO;1;FP;1500;FR;;;;;;;10271428.37;beginning_balance;D
111111900;20231;PO;1;FP;1500;FR;;;;;;;7138000.00;period_change;D
111111900;20231;PO;1;FP;1500;FR;;;;;;;12373721.12;period_change;C
111111900;20231;PO;1;FP;1500;FR;;;;;;;5035707.25;ending_balance;D
111111900;20231;PO;1;FP;1500;FR;1001;CO;;;;;522595.75;beginning_balance;C
111111900;20231;PO;1;FP;1500;FR;1001;CO;;;;;522595.75;ending_balance;C
111111900;20231;PO;1;FP;1500;FR;1002;CO;;;;;365.00;beginning_balance;C
111111900;20231;PO;1;FP;1500;FR;1002;CO;;;;;365.00;ending_balance;C
111111900;20231;PO;1;FP;1500;FR;1111;CO;;;;;71045.10;beginning_balance;C
111111900;20231;PO;1;FP;1500;FR;1111;CO;;;;;320.66;period_change;C
111111900;20231;PO;1;FP;1500;FR;1111;CO;;;;;71365.76;ending_balance;C
111210300;20231;PO;1;FP;1500;FR;;;;;;;3575327.78;period_change;D
111210300;20231;PO;1;FP;1500;FR;;;;;;;3575327.78;ending_balance;D
115610100;20231;PO;2;FP;;;;;;;;;129281.51;beginning_balance;D
115610100;20231;PO;2;FP;;;;;;;;;6500.00;period_change;D
115610100;20231;PO;2;FP;;;;;;;;;6500.00;period_change;C
115610100;20231;PO;2;FP;;;;;;;;;129281.51;ending_balance;D
115610600;20231;PO;2;FP;;;;;;;;;15793.00;beginning_balance;D
115610600;20231;PO;2;FP;;;;;;;;;15793.00;ending_balance;D
123110102;20231;PO;2;FP;;;;;;;;;12945.00;beginning_balance;D
123110102;20231;PO;2;FP;;;;;;;;;12945.00;ending_balance;D
123110103;20231;PO;2;FP;;;;;;;;;2805.00;beginning_balance;D
123110103;20231;PO;2;FP;;;;;;;;;2805.00;ending_balance;D
123110105;20231;PO;2;FP;;;;;;;;;28672.00;beginning_balance;D
123110105;20231;PO;2;FP;;;;;;;;;28672.00;ending_balance;D
123110108;20231;PO;2;FP;;;;;;;;;10990.00;beginning_balance;D
123110108;20231;PO;2;FP;;;;;;;;;10990.00;ending_balance;D
123110109;20231;PO;2;FP;;;;;;;;;13113.56;beginning_balance;D
123110109;20231;PO;2;FP;;;;;;;;;13113.56;ending_balance;D
123110121;20231;PO;2;FP;;;;;;;;;343.19;beginning_balance;D
123110121;20231;PO;2;FP;;;;;;;;;343.19;ending_balance;D
123110199;20231;PO;2;FP;;;;;;;;;34181.76;beginning_balance;D
123110199;20231;PO;2;FP;;;;;;;;;34181.76;ending_balance;D
123110201;20231;PO;2;FP;;;;;;;;;1573021.60;beginning_balance;D
123110201;20231;PO;2;FP;;;;;;;;;1573021.60;ending_balance;D
123110202;20231;PO;2;FP;;;;;;;;;106024.94;beginning_balance;D
123110202;20231;PO;2;FP;;;;;;;;;106024.94;ending_balance;D
123110301;20231;PO;2;FP;;;;;;;;;39217.39;beginning_balance;D
123110301;20231;PO;2;FP;;;;;;;;;39217.39;ending_balance;D
123110302;20231;PO;2;FP;;;;;;;;;37172.66;beginning_balance;D
123110302;20231;PO;2;FP;;;;;;;;;37172.66;ending_balance;D
123110303;20231;PO;2;FP;;;;;;;;;455026.64;beginning_balance;D
123110303;20231;PO;2;FP;;;;;;;;;455026.64;ending_balance;D
123110304;20231;PO;2;FP;;;;;;;;;27899.40;beginning_balance;D
123110304;20231;PO;2;FP;;;;;;;;;27899.40;ending_balance;D
123110405;20231;PO;2;FP;;;;;;;;;117501.69;beginning_balance;D
123110405;20231;PO;2;FP;;;;;;;;;117501.69;ending_balance;D
123110501;20231;PO;2;FP;;;;;;;;;2313381.04;beginning_balance;D
123110501;20231;PO;2;FP;;;;;;;;;2313381.04;ending_balance;D
123110900;20231;PO;2;FP;;;;;;;;;83800.18;beginning_balance;D
123110900;20231;PO;2;FP;;;;;;;;;83800.18;ending_balance;D
123119901;20231;PO;2;FP;;;;;;;;;3556009.64;beginning_balance;D
123119901;20231;PO;2;FP;;;;;;;;;3556009.64;ending_balance;D
123119999;20231;PO;2;FP;;;;;;;;;562865.00;beginning_balance;D
123119999;20231;PO;2;FP;;;;;;;;;562865.00;ending_balance;D
123219901;20231;PO;2;FP;;;;;;;;;2592.50;beginning_balance;D
123219901;20231;PO;2;FP;;;;;;;;;2592.50;ending_balance;D
123810101;20231;PO;2;FP;;;;;;;;;738582.15;beginning_balance;C
