CONTA;NATUREZA DO SALDO
100000000;D
110000000;D
111000000;D
111100000;D
111110000;D
111110100;D
111110200;D
111110600;D
111110602;D
111110603;D
111110604;D
111110700;D
111110701;D
111110702;D
111111900;D
111113000;D
111115000;D
111115100;D
111115200;D
111115300;D
111120000;D
111200000;D
111210000;D
111210100;D
111210200;D
111210300;D
111300000;D
111310000;D
111310100;D
111310200;D
111310300;D
111310400;D
111310500;D
111310600;D
111320000;D
111320100;D
111320101;D
111320102;D
112000000;D
112100000;D
112110000;D
112110100;D
112110101;D
112110102;D
112110103;D
112110104;D
112110105;D
112110106;D
112110107;D
112110108;D
112110199;D
112110200;D
112110201;D
112110202;D
112110300;D
112110301;D
112110400;D
112110401;D
112110500;D
112110502;D
112110599;D
112117000;D
112117100;D
112119900;D
112120000;D
112120100;D
112120101;D
112120102;D
112120103;D
112120104;D
112120105;D
112120106;D
112120107;D
112120108;D
112120199;D
112120200;D
112120201;D
112120202;D
112120300;D
112120301;D
112120400;D
112120401;D
112120500;D
112120502;D
112120599;D
112127000;D
112127100;D
112129900;D
112130000;D
112130100;D
112130101;D
112130102;D
112130103;D
112130104;D
112130105;D
112130106;D
112130107;D
112130108;D
112130199;D
112130200;D
112130201;D
112130202;D
112130300;D
112130301;D
112130400;D
112130401;D
112130500;D
112130599;D
112137000;D
112137100;D
112139900;D
112140000;D
112140100;D
112140101;D
112140102;D
112140103;D
112140104;D
112140105;D
112140106;D
112140107;D
112140108;D
112140199;D
112140200;D
112140201;D
112140202;D
112140300;D
112140301;D
112140400;D
112140401;D
112140500;D
112140599;D
112147000;D
112147100;D
112149900;D
112150000;D
112150100;D
112150101;D
112150102;D
112150103;D
112150104;D
112150105;D
112150106;D
112150107;D
112150108;D
112150199;D
112150200;D
112150201;D
112150202;D
112150300;D
112150301;D
112150400;D
112150401;D
112150500;D
112150599;D
112157000;D
112157100;D
112159900;D
112200000;D
112210000;D
112210100;D
112210300;D
112220000;D
112220100;D
112220300;D
112230000;D
112230100;D
112230300;D
112240000;D
112240100;D
112240300;D
112250000;D
112250100;D
112250300;D
112300000;D
112310000;D
112310100;D
112310200;D
112319900;D
